ProductID,ProductName,Category,UnitPrice($),AverageRating,UnitCost($)
2000,Electronics-Signal,Electronics,969.31,4,939.63
2001,Electronics-Boost,Electronics,412.35,1,398.56
2002,Office-Family,Office,866,3,514.33
2003,Electronics-Training,Electronics,385.18,5,363.04
2004,Office-Where,Office,927.25,4,716.46
2005,Office-Huge,Office,428.78,3,268.13
2006,Office-Class,Office,198,4,179.22
2007,Clothing-Over,Clothing,583.39,2,372.27
2008,Electronics-Skin,Electronics,66.59,5,40.64
2009,Office-Raise,Office,66.31,3,41.97
2010,Electronics-Themselves,Electronics,77.84,2,9.36
2011,Electronics-Religious,Electronics,409.74,2,367.92
2012,Clothing-Artist,Clothing,623.19,2,94.54
2013,Office-Cultural,Office,935.36,1,64.32
2014,Clothing-Eat,Clothing,246.3,2,4.46
2015,Office-Itself,Office,674.97,5,496.82
2016,Home-He,Home,323.02,3,169.08
2017,Electronics-Feeling,Electronics,463.7,1,378.29
2018,Electronics-Nature,Electronics,542.26,1,541.71
2019,Home-History,Home,933.93,4,205.43
2020,Electronics-Share,Electronics,375.83,4,294.01
2021,Clothing-Skill,Clothing,835.41,1,440.63
2022,Home-Economy,Home,671.18,5,632.73
2023,Home-Yeah,Home,939.54,2,724.03
2024,Clothing-Paper,Clothing,124.27,1,0.33
2025,Electronics-Assume,Electronics,279.62,5,8.80
2026,Clothing-Use,Clothing,211.56,2,126.62
2027,Home-Purpose,Home,258.61,5,5.73
2028,Electronics-Take,Electronics,637.94,1,45.08
2029,Home-Yourself,Home,13.51,2,1.15
2030,Clothing-First,Clothing,169.97,5,106.97
2031,Office-Develop,Office,565.3,1,475.68
2032,Electronics-There,Electronics,945.6,1,203.48
2033,Clothing-Argue,Clothing,836.25,5,32.95
2034,Clothing-Feel,Clothing,136.17,1,21.02
2035,Home-According,Home,899.99,3,491.92
2036,Electronics-Candidate,Electronics,217.98,1,25.25
2037,Clothing-Meeting,Clothing,360.14,3,118.88
2038,Office-Soon,Office,926.51,5,314.59
2039,Clothing-Need,Clothing,976.44,4,848.45
2040,Clothing-Determine,Clothing,34.54,2,6.54
2041,Home-Assume,Home,804.21,3,310.20
2042,Clothing-Lawyer,Clothing,167.61,2,133.21
2043,Electronics-Practice,Electronics,873.45,5,607.44
2044,Office-Society,Office,207.58,4,43.63
2045,Office-Next,Office,312.14,4,298.10
2046,Clothing-Worry,Clothing,33.43,3,7.35
2047,Clothing-Hair,Clothing,334.98,3,268.46
2048,Electronics-Candidate,Electronics,357.63,3,216.14
2049,Office-Easy,Office,939.84,4,587.31
2050,Electronics-Young,Electronics,186.78,4,168.32
2051,Home-Century,Home,117.32,5,106.08
2052,Office-Year,Office,731.26,1,393.55
2053,Home-Ground,Home,610.15,1,160.69
2054,Electronics-Above,Electronics,900.51,2,891.59
2055,Clothing-Politics,Clothing,53.94,3,19.49
2056,Office-About,Office,524.72,5,168.76
2057,Clothing-Identify,Clothing,436.98,3,77.25
2058,Home-Wear,Home,666.75,3,658.84
2059,Electronics-Clear,Electronics,512.05,1,424.97
2060,Office-Term,Office,408.38,1,403.34
2061,Home-Quite,Home,199.92,5,113.57
2062,Office-Receive,Office,619.36,5,475.27
2063,Home-Good,Home,552.46,2,286.01
2064,Electronics-Stop,Electronics,294.04,1,49.17
2065,Office-Animal,Office,470.34,4,137.42
2066,Office-Occur,Office,516.06,5,58.95
2067,Clothing-Remain,Clothing,290.95,3,185.39
2068,Home-Read,Home,820.24,1,744.19
2069,Clothing-Garden,Clothing,232.39,5,99.95
2070,Clothing-About,Clothing,34.18,3,26.11
2071,Clothing-Success,Clothing,615.16,3,84.70
2072,Electronics-Become,Electronics,420.3,3,21.78
2073,Clothing-Executive,Clothing,499.43,1,43.61
2074,Clothing-Strong,Clothing,659.5,1,567.79
2075,Electronics-Letter,Electronics,780.64,4,768.12
2076,Clothing-Affect,Clothing,806.07,5,763.35
2077,Office-Ball,Office,561.83,4,455.66
2078,Electronics-Film,Electronics,142.01,5,38.72
2079,Office-Who,Office,950.54,4,391.16
2080,Office-Doctor,Office,832.26,5,749.66
2081,Office-Light,Office,746.22,3,78.83
2082,Office-Figure,Office,266.6,4,223.21
2083,Clothing-Cut,Clothing,768.16,3,250.09
2084,Office-Stuff,Office,281.85,5,48.92
2085,Electronics-Officer,Electronics,242.15,1,238.33
2086,Home-Of,Home,894.1,2,273.49
2087,Electronics-Rather,Electronics,159.32,2,52.80
2088,Office-Evening,Office,709.35,2,454.84
2089,Electronics-Action,Electronics,413.52,5,52.35
2090,Office-Staff,Office,71.64,5,64.36
2091,Office-Mrs,Office,905.79,1,779.79
2092,Electronics-Add,Electronics,482.21,5,105.57
2093,Home-Real,Home,755.94,2,153.02
2094,Office-Fight,Office,493.35,1,166.75
2095,Home-Seem,Home,490.79,2,291.28
2096,Office-Discuss,Office,672.18,5,90.00
2097,Office-Recent,Office,842.1,1,394.67
2098,Clothing-Trouble,Clothing,907.86,4,381.82
2099,Electronics-Several,Electronics,646.32,3,72.77
